appid,n_reviews,n_with_fun,pct_with_fun,pairIndex,type,zero_hit_pct,tokens_in_review_mean,charLen_mean,Flow_prop_mean,Flow_prop_median,Utility_prop_mean,Utility_prop_median,Nostalgia_prop_mean,Nostalgia_prop_median,Flow_per_100_mean,Utility_per_100_mean,Nostalgia_per_100_mean,Flow_share_mean,Utility_share_mean,Nostalgia_share_mean,None_share_mean
1273440,637,66,0.10361067503924647,5,top,0.8963893249607535,40.11302982731554,228.82574568288854,0.17871017871017872,0.0,0.5095182595182595,0.5,0.3117715617715618,0.0,0.20110754189574995,0.28887167808495945,0.11354706911423428,0.0020110754189575,0.002888716780849595,0.0011354706911423428,0.9939647371090505
1555650,55,19,0.34545454545454546,4,bottom,0.6545454545454545,80.81818181818181,478.5272727272727,0.37593984962406013,0.3333333333333333,0.5275689223057644,0.5,0.09649122807017543,0.0,0.3729042121202382,0.40517542485949265,0.19844673146559938,0.003729042121202383,0.004051754248594927,0.0019844673146559937,0.9902347363155468
1929360,84,4,0.047619047619047616,3,top,0.9523809523809523,21.035714285714285,118.89285714285714,0.5,0.5,0.25,0.0,0.25,0.0,0.11441647597254002,0.022461814914645103,0.005751092707614446,0.0011441647597254005,0.00022461814914645102,5.7510927076144466e-05,0.998573706164052
250460,915,183,0.2,2,top,0.8,44.46120218579235,260.2393442622951,0.4315573770491803,0.3333333333333333,0.45623861566484514,0.3333333333333333,0.11220400728597449,0.0,0.3360083931705143,0.5370299193058018,0.12794724928147214,0.0033600839317051434,0.0053702991930580195,0.0012794724928147216,0.9899901443824222
312370,714,215,0.3011204481792717,4,top,0.6988795518207283,96.8921568627451,565.8557422969187,0.38316097339353156,0.0,0.3963554533321975,0.3076923076923077,0.22048357327427093,0.0,0.27862843503358725,0.35988942125891626,0.1880444481013365,0.0027862843503358727,0.0035988942125891625,0.0018804444810133652,0.9917343769560617
3584190,112,29,0.25892857142857145,1,bottom,0.7410714285714286,71.14285714285714,430.44642857142856,0.3103448275862069,0.0,0.4166666666666667,0.3333333333333333,0.2729885057471264,0.0,0.19966966631322455,0.21244147222744067,0.10002607287707034,0.0019966966631322454,0.0021244147222744063,0.0010002607287707033,0.9948786278858226
415880,819,155,0.18925518925518925,1,top,0.8107448107448108,47.391941391941394,272.2991452991453,0.4689516129032258,0.3333333333333333,0.28376344086021504,0.0,0.24728494623655914,0.0,0.2544112168493791,0.2574828307510101,0.17415273504016512,0.0025441121684937913,0.0025748283075101006,0.0017415273504016516,0.9931395321735945
435020,101,20,0.19801980198019803,5,bottom,0.801980198019802,54.73267326732673,310.76237623762376,0.41833333333333333,0.26666666666666666,0.29833333333333334,0.0,0.2833333333333333,0.0,0.20985592404541387,0.25816721287474226,0.06590156301751322,0.0020985592404541386,0.002581672128747422,0.0006590156301751322,0.9946607530006234
435480,146,40,0.273972602739726,2,bottom,0.726027397260274,85.36986301369863,489.05479452054794,0.39345238095238094,0.16666666666666666,0.3169642857142857,0.0,0.2895833333333333,0.0,0.14624472856622975,0.15025225681681906,0.18220266579181083,0.0014624472856622974,0.0015025225681681907,0.0018220266579181083,0.9952130034882515
48110,1459,196,0.1343385880740233,3,bottom,0.8656614119259767,50.99451679232351,289.2111034955449,0.316921768707483,0.0,0.4517857142857142,0.3333333333333333,0.2312925170068027,0.0,0.11803492770108617,0.18137215179726293,0.194541626374715,0.0011803492770108615,0.0018137215179726298,0.0019454162637471506,0.9950605129412693
