appid,reviewId,charLen,isPositive,tokens_in_review,zero_hit,pairIndex,type,Flow_count,Utility_count,Nostalgia_count,Flow_prop,Utility_prop,Nostalgia_prop,Flow_per_100,Utility_per_100,Nostalgia_per_100,Flow_share,Utility_share,Nostalgia_share,None_share
415880,48256181,162,0,29,False,1,top,0,1,0,0.0,1.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.034482758620689655,0.0,0.9655172413793104
415880,48255835,30,1,5,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48255584,857,1,147,False,1,top,1,0,2,0.3333333333333333,0.0,0.6666666666666666,0.6802721088435374,0.0,1.3605442176870748,0.006802721088435374,0.0,0.013605442176870748,0.9795918367346939
415880,48255378,349,0,63,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48254275,8,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48253261,54,1,13,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48253248,82,1,12,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48250688,8,1,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48250466,657,1,115,False,1,top,1,0,0,1.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.008695652173913044,0.0,0.0,0.991304347826087
415880,48249859,114,0,22,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48249855,49,0,8,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48249478,66,1,13,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48248988,98,1,19,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48248794,28,0,5,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48247947,5,1,1,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48247804,423,0,81,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48245177,148,1,28,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48244511,11,0,2,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48244057,24,0,6,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415880,48243739,37,1,7,True,1,top,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
